null*text/plain; charset=UTF-8*UTF-8*en
_George Orwell_*application/pdf*null*es
Новый*application/pdf*null*ru
The Origin of Species, Sixth Edition by Charles Darwin*application/xhtml+xml; charset=ISO-8859-1*ISO-8859-1*en
Un mundo feliz*application/epub+zip*null*es
