de 3553 0.0 3.550595207489328
 2388 0.3010299956639812 3.3780343224573315
la 2017 0.47712125471966244 3.3047058982127653
y 1695 0.6020599913279624 3.229169702539101
el 1585 0.6989700043360189 3.2000292665537704
que 1358 0.7781512503836436 3.132899769944483
en 1339 0.8450980400142568 3.126780577012009
a 1334 0.9030899869919435 3.12515582958053
los 960 0.9542425094393249 2.9822712330395684
se 899 1.0 2.9537596917332287
un 850 1.0413926851582251 2.929418925714293
una 699 1.0791812460476249 2.8444771757456815
con 593 1.1139433523068367 2.7730546933642626
su 549 1.146128035678238 2.739572344450092
no 532 1.1760912590556813 2.7259116322950483
las 532 1.2041199826559248 2.7259116322950483
del 494 1.2304489213782739 2.693726948923647
por 486 1.255272505103306 2.6866362692622934
lo 432 1.2787536009528289 2.635483746814912
al 361 1.3010299956639813 2.5575072019056577
como 336 1.3222192947339193 2.526339277389844
había 304 1.3424226808222062 2.482873583608754
El 285 1.3617278360175928 2.45484486000851
más 285 1.380211241711606 2.45484486000851
para 276 1.3979400086720377 2.4409090820652177
sus 272 1.414973347970818 2.4345689040341987
es 261 1.4313637641589874 2.416640507338281
le 233 1.4471580313422192 2.367355921026019
Y 201 1.462397997898956 2.303196057420489
era 200 1.4771212547196624 2.3010299956639813
—dijo 177 1.4913616938342726 2.247973266361807
Pero 167 1.505149978319906 2.2227164711475833
Bernard 165 1.5185139398778875 2.2174839442139063
Lenina 151 1.5314789170422551 2.1789769472931693
si 150 1.5440680443502757 2.1760912590556813
La 149 1.5563025007672873 2.173186268412274
me 147 1.568201724066995 2.167317334748176
o 144 1.5797835966168101 2.1583624920952498
Salvaje 133 1.591064607026499 2.123851640967086
En 132 1.6020599913279623 2.12057393120585
sin 130 1.6127838567197355 2.113943352306837
John 127 1.6232492903979006 2.103803720955957
hacia 118 1.6334684555795864 2.0718820073061255
todo 116 1.6434526764861874 2.0644579892269186
muy 107 1.6532125137753437 2.0293837776852097
ser 107 1.662757831681574 2.0293837776852097
hasta 106 1.6720978579357175 2.0253058652647704
dos 102 1.6812412373755872 2.0086001717619175
cuando 102 1.6901960800285136 2.0086001717619175
voz 101 1.6989700043360187 2.0043213737826426
pero 99 1.7075701760979363 1.99563519459755
Los 97 1.7160033436347992 1.9867717342662448
qué 95 1.724275869600789 1.9777236052888478
y, 93 1.7323937598229686 1.968482948553935
entre 90 1.7403626894942439 1.954242509439325
sobre 89 1.7481880270062005 1.9493900066449128
tan 83 1.7558748556724915 1.919078092376074
No 81 1.7634279935629373 1.9084850188786497
estaba 81 1.7708520116421442 1.9084850188786497
sólo 81 1.7781512503836436 1.9084850188786497
vez 79 1.7853298350107671 1.8976270912904414
ojos 78 1.792391689498254 1.8920946026904804
otro 77 1.7993405494535817 1.8864907251724818
otra 76 1.806179973983887 1.8808135922807914
algo 72 1.8129133566428555 1.8573324964312685
aquel 69 1.8195439355418688 1.8388490907372552
todos 69 1.8260748027008264 1.8388490907372552
les 68 1.8325089127062364 1.8325089127062364
Un 67 1.8388490907372552 1.8260748027008264
ya 67 1.845098040014257 1.8260748027008264
Linda 66 1.8512583487190752 1.8195439355418688
son 65 1.8573324964312685 1.8129133566428555
después 63 1.863322860120456 1.7993405494535817
mundo 63 1.8692317197309762 1.7993405494535817
casi 63 1.8750612633917 1.7993405494535817
ha 62 1.8808135922807914 1.792391689498254
desde 62 1.8864907251724818 1.792391689498254
fue 61 1.8920946026904804 1.7853298350107671
menos 61 1.8976270912904414 1.7853298350107671
eran 60 1.9030899869919435 1.7781512503836436
uno 60 1.9084850188786497 1.7781512503836436
ni 58 1.9138138523837167 1.7634279935629373
—Pero 58 1.919078092376074 1.7634279935629373
director 58 1.9242792860618816 1.7634279935629373
Se 57 1.9294189257142926 1.7558748556724915
cada 57 1.9344984512435677 1.7558748556724915
te 56 1.9395192526186185 1.7481880270062005
esta 56 1.9444826721501687 1.7481880270062005
Mr. 56 1.9493900066449128 1.7481880270062005
mismo 56 1.954242509439325 1.7481880270062005
habían 55 1.9590413923210936 1.7403626894942439
hubiese 53 1.9637878273455553 1.724275869600789
porque 53 1.968482948553935 1.724275869600789
puede 53 1.9731278535996986 1.724275869600789
él 50 1.9777236052888478 1.6989700043360187
unos 50 1.9822712330395684 1.6989700043360187
A 49 1.9867717342662448 1.6901960800285136
podía 49 1.9912260756924949 1.6901960800285136
toda 49 1.99563519459755 1.6901960800285136
De 48 2.0 1.6812412373755872
Por 48 2.0043213737826426 1.6812412373755872
momento 48 2.0086001717619175 1.6812412373755872
Y, 47 2.012837224705172 1.6720978579357175
hombre 47 2.0170333392987803 1.6720978579357175
poco 47 2.0211892990699383 1.6720978579357175
está 47 2.0253058652647704 1.6720978579357175
Bernard, 47 2.0293837776852097 1.6720978579357175
hizo 47 2.03342375548695 1.6720978579357175
mano 46 2.037426497940624 1.662757831681574
Helmholtz 46 2.041392685158225 1.662757831681574
volvió 46 2.0453229787866576 1.662757831681574
ante 46 2.0492180226701815 1.662757831681574
hombres 45 2.0530784434834195 1.6532125137753437
Al 45 2.0569048513364727 1.6532125137753437
sido 45 2.060697840353612 1.6532125137753437
tres 45 2.0644579892269186 1.6532125137753437
fin 44 2.0681858617461617 1.6434526764861874
palabras 44 2.0718820073061255 1.6434526764861874
Las 44 2.0755469613925306 1.6434526764861874
nuevo 44 2.0791812460476247 1.6434526764861874
rostro 44 2.0827853703164503 1.6434526764861874
sí 43 2.0863598306747484 1.6334684555795864
yo 43 2.089905111439398 1.6334684555795864
tiempo 43 2.093421685162235 1.6334684555795864
